"start range,end range,street name,regulation text,regulation href"
"100,199,'S 1ST ST','No Winter Night Parking',noWinter"
"200,299,'S 1ST ST','No Winter Night Parking',noWinter"
"300,399,'S 1ST ST','No Winter Night Parking',noWinter"
"400,499,'S 1ST ST','No Winter Night Parking',noWinter"
"500,599,'S 1ST ST','No Winter Night Parking',noWinter"
"600,699,'S 1ST ST','No Winter Night Parking',noWinter"
"700,799,'S 1ST ST','No Winter Night Parking',noWinter"
"800,899,'S 1ST ST','No Winter Night Parking',noWinter"
"900,999,'S 1ST ST','No Winter Night Parking',noWinter"
"1000,1099,'S 1ST ST','No Winter Night Parking',noWinter"
"1100,1199,'S 1ST ST','No Winter Night Parking',noWinter"
"1200,1299,'S 1ST ST','No Winter Night Parking',noWinter"
"1300,1399,'S 1ST ST','No Winter Night Parking',noWinter"
"1400,1499,'S 1ST ST','No Winter Night Parking',noWinter"
"1500,1599,'S 1ST ST','No Winter Night Parking',noWinter"
"1600,1699,'S 1ST ST','No Winter Night Parking',noWinter"
"1800,1899,'S 1ST ST','No Winter Night Parking',noWinter"
"1900,1999,'S 1ST ST','No Winter Night Parking',noWinter"
"2000,2099,'S 1ST ST','No Winter Night Parking',noWinter"
"2100,2199,'S 1ST ST','No Winter Night Parking',noWinter"
"2200,2299,'S 1ST ST','No Winter Night Parking',noWinter"
"2300,2399,'S 1ST ST','No Winter Night Parking',noWinter"
"2400,2499,'S 1ST ST','No Winter Night Parking',noWinter"
"2500,2599,'S 1ST ST','No Winter Night Parking',noWinter"
"1700,1749,'S 1ST ST','Special Case',specialCase"
"500,599,'N 2ND ST','No Winter Night Parking',noWinter"
"600,699,'N 2ND ST','No Winter Night Parking',noWinter"
"700,799,'N 2ND ST','No Winter Night Parking',noWinter"
"800,830,'N 2ND ST','No Winter Night Parking',noWinter"
"3500,3599,'N 2ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"3600,3699,'N 2ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"3700,3799,'N 2ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1800,1899,'N 2ND ST','4 Inch Rule',4inchRule"
"1900,1999,'N 2ND ST','4 Inch Rule',4inchRule"
"2000,2099,'N 2ND ST','4 Inch Rule',4inchRule"
"2100,2199,'N 2ND ST','4 Inch Rule',4inchRule"
"2200,2299,'N 2ND ST','4 Inch Rule',4inchRule"
"100,199,'S 2ND ST','No Winter Night Parking',noWinter"
"200,299,'S 2ND ST','No Winter Night Parking',noWinter"
"300,399,'S 2ND ST','No Winter Night Parking',noWinter"
"400,499,'S 2ND ST','No Winter Night Parking',noWinter"
"500,599,'S 2ND ST','No Winter Night Parking',noWinter"
"600,699,'S 2ND ST','No Winter Night Parking',noWinter"
"700,799,'S 2ND ST','No Winter Night Parking',noWinter"
"800,899,'S 2ND ST','No Winter Night Parking',noWinter"
"900,999,'S 2ND ST','No Winter Night Parking',noWinter"
"1000,1099,'S 2ND ST','No Winter Night Parking',noWinter"
"1100,1199,'S 2ND ST','No Winter Night Parking',noWinter"
"1200,1299,'S 2ND ST','No Winter Night Parking',noWinter"
"1300,1399,'S 2ND ST','No Winter Night Parking',noWinter"
"1400,1499,'S 2ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1500,1599,'S 2ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1600,1699,'S 2ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1700,1799,'S 2ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"700,799,'N 3RD ST','No Winter Night Parking',noWinter"
"800,899,'N 3RD ST','No Winter Night Parking',noWinter"
"900,999,'N 3RD ST','No Winter Night Parking',noWinter"
"1000,1099,'N 3RD ST','No Winter Night Parking',noWinter"
"1100,1199,'N 3RD ST','No Winter Night Parking',noWinter"
"1200,1299,'N 3RD ST','No Winter Night Parking',noWinter"
"3200,3299,'S 3RD ST','No Winter Night Parking',noWinter"
"3300,3399,'S 3RD ST','No Winter Night Parking',noWinter"
"200,299,'S 3RD ST','4 Inch Rule',4inchRule"
"1500,1599,'S 3RD ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1600,1699,'S 3RD ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1000,1099,'S 3RD ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"500,599,'N 4TH ST','No Winter Night Parking',noWinter"
"600,699,'N 4TH ST','No Winter Night Parking',noWinter"
"700,799,'N 4TH ST','No Winter Night Parking',noWinter"
"800,899,'N 4TH ST','No Winter Night Parking',noWinter"
"900,999,'N 4TH ST','No Winter Night Parking',noWinter"
"1000,1099,'N 4TH ST','No Winter Night Parking',noWinter"
"1100,1199,'N 4TH ST','No Winter Night Parking',noWinter"
"1200,1299,'N 4TH ST','No Winter Night Parking',noWinter"
"1300,1399,'N 4TH ST','No Winter Night Parking',noWinter"
"1400,1499,'N 4TH ST','No Winter Night Parking',noWinter"
"1500,1599,'N 4TH ST','No Winter Night Parking',noWinter"
"1600,1699,'N 4TH ST','No Winter Night Parking',noWinter"
"2400,2499,'S 5TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1900,1999,'S 5TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2000,2099,'S 5TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2100,2199,'S 5TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2200,2299,'S 5TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"500,599,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"600,699,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"700,799,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"800,899,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"900,999,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1000,1099,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2400,2499,'S 5TH ST','4 Inch Rule',4inchRule"
"2500,2599,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1300,1399,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1500,1599,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1600,1699,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1700,1799,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1800,1899,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1900,1999,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2000,2099,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2100,2199,'S 5TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"100,199,'N 6TH ST','No Winter Night Parking',noWinter"
"200,299,'N 6TH ST','No Winter Night Parking',noWinter"
"300,399,'N 6TH ST','No Winter Night Parking',noWinter"
"400,499,'N 6TH ST','No Winter Night Parking',noWinter"
"500,599,'N 6TH ST','No Winter Night Parking',noWinter"
"600,699,'N 6TH ST','No Winter Night Parking',noWinter"
"700,799,'N 6TH ST','No Winter Night Parking',noWinter"
"800,899,'N 6TH ST','No Winter Night Parking',noWinter"
"900,999,'N 6TH ST','No Winter Night Parking',noWinter"
"1000,1099,'N 6TH ST','No Winter Night Parking',noWinter"
"1100,1199,'N 6TH ST','No Winter Night Parking',noWinter"
"1200,1299,'N 6TH ST','No Winter Night Parking',noWinter"
"1300,1399,'N 6TH ST','No Winter Night Parking',noWinter"
"1400,1499,'N 6TH ST','No Winter Night Parking',noWinter"
"1500,1599,'N 6TH ST','No Winter Night Parking',noWinter"
"1600,1699,'N 6TH ST','No Winter Night Parking',noWinter"
"1700,1799,'N 6TH ST','No Winter Night Parking',noWinter"
"1800,1899,'N 6TH ST','No Winter Night Parking',noWinter"
"1900,1999,'N 6TH ST','No Winter Night Parking',noWinter"
"1800,1899,'S 6TH ST','Snow Zone',snowZone"
"1900,1999,'S 6TH ST','Snow Zone',snowZone"
"2000,2099,'S 6TH ST','Snow Zone',snowZone"
"2100,2199,'S 6TH ST','Snow Zone',snowZone"
"2200,2299,'S 6TH ST','Snow Zone',snowZone"
"1100,1199,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1200,1299,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1300,1399,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1500,1599,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1600,1699,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1700,1799,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1800,1899,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1900,1999,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2000,2099,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2100,2199,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2200,2299,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2300,2399,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2400,2499,'S 6TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1100,1199,'S 6TH ST','Special Case',specialCase"
"1200,1299,'S 6TH ST','Special Case',specialCase"
"1300,1399,'S 6TH ST','Special Case',specialCase"
"1400,1499,'S 6TH ST','Special Case',specialCase"
"1500,1599,'S 6TH ST','Special Case',specialCase"
"1600,1699,'S 6TH ST','Special Case',specialCase"
"1700,1799,'S 6TH ST','Special Case',specialCase"
"2700,2799,'S 6TH ST','No Winter Night Parking',noWinter"
"2800,2899,'S 6TH ST','No Winter Night Parking',noWinter"
